ngram,count,percentage
qu,8281405449,0.12414364203141694
oa,8232231588,0.12340649394286105
ua,8227068864,0.1233291013596685
ms,8187806253,0.12274052934067728
tw,8118316093,0.12169882674552326
mm,7863945051,0.11788563974777523
dr,7792756412,0.11681847585015602
mb,7720936043,0.1157418419098655
rk,7673324341,0.11502811159850776
nn,7623559267,0.1142821008434047
ph,7561343147,0.11334944082845565
br,7470955906,0.1119944774276157
nu,7465786219,0.1119169804645344
tc,7358005916,0.11030128377680788
sw,7312275570,0.10961575621282629
pu,7257174438,0.1087897544853828
ny,7149394479,0.10717406295443954
sm,7051919359,0.10571284764759684
rv,7048825612,0.1056664703723301
ye,7000720946,0.10494535021069544
ui,6967198562,0.10444282791964661
pt,6901392028,0.10345634526878078
nl,6853881320,0.10274412892302472
sf,6792861643,0.10182940436509651
rg,6774701154,0.10155716684944588
ub,6765681016,0.10142194912706262
rl,6736958349,0.10099137770869715
ya,6723589408,0.10079096860711842
mu,6695170465,0.1003649502086195
dd,6513992572,0.0976489760142496
tl,6510937489,0.09760317833743448
ak,6438563979,0.09651825245458423
ud,6346747965,0.09514187081924914
ok,6337630431,0.0950051930676192
yt,6272652335,0.09403112924000148
ks,6218068120,0.09321287643384958
oi,6197247704,0.09290076488626665
fu,6162102012,0.09237390815482606
db,6154952809,0.0922667369622661
ws,6152300106,0.09222697122278194
sl,5977618166,0.08960837557953492
af,5971635350,0.08951868928505051
gu,5967924547,0.08946306193989538
rp,5964174774,0.08940685040915003
cc,5922990413,0.08878947011050833
gs,5910027525,0.08859514800691423
ib,5903154131,0.08849211137025495
gt,5752080734,0.08622742310772061
ug,5736801207,0.08599837308209647
eh,5682274341,0.08518097997467212
tm,5594198669,0.08386066849327196
sb,5554765729,0.08326954313203302
nk,5529228890,0.08288672934288172
lp,4956631224,0.07430311873310141
ps,4936994208,0.07400874711950489
eu,4861907859,0.07288315401950424
hr,4812087922,0.07213632083242698
yp,4770576225,0.07151403355471533
gn,4692319436,0.0703409135016068
sy,4676593607,0.07010517311936781
nm,4584364328,0.06872259637348777
sn,4581713888,0.06868286455784223
jo,4529294446,0.06789706310382447
wn,4496647198,0.06740765966934921
tp,4481584579,0.06718186123541098
dc,4458726250,0.06683920004942172
rf,4407369994,0.06606933644351558
bs,4406092091,0.06605017984822993
sr,4378996072,0.06564399293902376
fl,4335648043,0.064994177852915
sd,4313766677,0.06466616197631153
ja,4192981909,0.06285551991877884
aw,4177879274,0.06262912161903161
my,4121819744,0.061788752883600376
dm,4111096663,0.06162800694049495
yi,4088737647,0.061292830780412866
cs,4078415715,0.06113809832114952
yc,4065809966,0.06094912996293649
ju,4054670856,0.06078214747513238
lc,4046692044,0.06066253990527435
cy,4025081908,0.06033858994238994
gl,4011563990,0.060135947578900215
dw,3860562254,0.057872333561261445
sk,3854517035,0.0577817118053096
rb,3838019263,0.057534399496535826
hu,3823520600,0.0573170551290259
je,3747477349,0.05617711744704837
tb,3716332695,0.05571023887176557
df,3715422721,0.05569659777096334
ym,3629941896,0.05441518473006077
xt,3628673601,0.054396172164930395
tf,3611139685,0.054133327385174346
np,3592621275,0.05385572440145513
dl,3577701820,0.05363207208878548
dv,3577037604,0.053622115059891846
lf,3565589819,0.053450505333518146
vo,3540351272,0.05307216313502822
dp,3534926059,0.052990835671379216
eq,3453509796,0.05177035305261936
nv,3435172018,0.051495457859804174
iz,3432225830,0.05145129258970821
nb,3413336523,0.05116812961925943
ka,3410386694,0.05112390976821058
oe,3398500076,0.05094572165037916
xp,3378298285,0.050642883693012834
pm,3267674878,0.04898456703124837
td,3231292348,0.048439169295521924
oy,3224756847,0.04834119789421371
yr,3213028237,0.048165378418844114
dy,3212165655,0.04815244775487769
lb,3160411900,0.047376625380998204
rw,3123939253,0.04682987673295888
ze,3038306939,0.0455461927736351
ik,3004540659,0.045040014323266056
lm,2961674921,0.044397429092237775
nw,2850280693,0.04272755732344666
oh,2835788339,0.04251030753194106
dg,2821158761,0.04229100066362174
dh,2800725402,0.041984691351655654
yl,2798711484,0.04195450141387126
nh,2792670858,0.04186394850997013
yb,2791607728,0.04184801150133485
tn,2772908209,0.04156769357617204
mt,2714425956,0.04069100665070586
lr,2690464933,0.040331815366045624
hn,2670439822,0.04003162595653862
yw,2650158989,0.03972760310829672
ah,2649442627,0.03971686437702211
hy,2609376360,0.03911624503304544
dn,2569370944,0.03851653788504901
nr,2550646385,0.03823584459403609
ek,2534125107,0.03798817991506771
hs,2518213365,0.0377496525763075
kn,2428470642,0.036404350918557864
yn,2367224599,0.03548623298738582
yd,2357064378,0.035333924680957425
gy,2323709882,0.03483391913998221
yf,2308211635,0.03460159035961621
rh,2300596181,0.03448742976198518
ko,2259439291,0.033870461271461226
sg,2246645063,0.033678667490721736
fs,2218585525,0.033258036806414454
kt,2071966322,0.031060119802560772
py,2064349214,0.030945934410396347
wr,2042709489,0.03062154088919969
gg,1992235463,0.029864902483530874
ww,1962296312,0.02941609518054858
gc,1927221855,0.028890306307987085
az,1919288786,0.028771384455384703
aa,1913489177,0.02868444455272541
fc,1841861062,0.02761069262466121
ax,1830526601,0.027440781698590926
xi,1830392546,0.027438772127143782
hm,1825937267,0.027371984603609012
wt,1807415715,0.027094334519270735
lv,1803473089,0.02703523199690035
fy,1724190100,0.025846728539822877
xa,1718498310,0.025761404913944456
ox,1680672450,0.02519437072484585
yh,1678109748,0.025155954158759274
tg,1671158263,0.02505174688733158
uy,1633379480,0.024485418413014343
mc,1626785459,0.024386569758928646
xc,1625728079,0.024370718946524934
gp,1616306418,0.024229482133796897
hc,1611390370,0.02415578738392869
cd,1555353527,0.023315758741350546
xe,1553965388,0.02329494963688547
za,1550549207,0.023243738866710016
lw,1550108402,0.02323713091369254
gf,1522326436,0.022820661213800057
lk,1518763585,0.022767251765140748
hp,1493976373,0.022395675371201913
pd,1487379715,0.02229678718677489
gm,1480461977,0.02219308580477785
pc,1449681886,0.021731672265454055
ix,1448111540,0.02170813175981283
zi,1424549625,0.021354923363080137
fp,1417227743,0.021245163600247363
hl,1416667280,0.021236761896155906
uf,1416534510,0.02123477158769269
lg,1387253469,0.02079582978070144
ln,1384111140,0.020748724229726626
uk,1372734372,0.020578179094270538
tv,1368545035,0.020515378213903094
gb,1366578321,0.020485895894712496
bj,1355781515,0.020324044766012052
nj,1346516080,0.020185149882409385
sv,1317445135,0.0197493575508033
ae,1267738358,0.019004220705563027
ml,1266359764,0.01898355468684234
fm,1242973272,0.018632975994723217
kl,1241504553,0.018610958943764463
zo,1226090518,0.018379892555929193
oj,1211299844,0.018158170754024046
yg,1197449390,0.01795054346008975
lh,1181528402,0.0177118775177892
gw,1174624262,0.0176083799786368
bb,1170784338,0.017550817025896524
gd,1162739419,0.017430218469207292
ej,1155599707,0.017323189552896665
ii,1153899993,0.01729770973698
hw,1106455831,0.016586490958950022
iu,1065701405,0.015975555664971535
kh,1062473733,0.015927170767042014
bm,1060633477,0.015899584135338367
hd,1040932622,0.015604255533702493
hb,1037322379,0.015550135648207387
wl,994356456,0.014906048579012447
mr,980047617,0.01469154979645185
mf,978327583,0.014665765370548195
ao,969588635,0.014534762868747712
ky,961304416,0.014410577049760905
mn,956700910,0.014341567507301844
fh,949061474,0.01422704740392731
vd,948786360,0.014222923266527665
hf,943913834,0.014149880939683758
cp,943130273,0.014138134851789278
iw,937945354,0.01406040955114292
kb,920890175,0.013804741349700932
uo,911010799,0.013656643092081403
fd,897530021,0.013454557481294276
wy,893249955,0.013390396514336789
aq,882410135,0.013227900577861721
md,874654976,0.013111645711616887
aj,862401373,0.012927956250474663
kf,858798087,0.012873940654924412
mw,853594935,0.012795942029775458
bc,851766051,0.012768525871731851
yu,849379055,0.012732743252612507
fw,839573399,0.012585750105634754
ih,828926953,0.012426152970912844
dj,819560690,0.012285746610156228
wp,812895043,0.012185824235847685
bt,810975838,0.012157054107398814
cm,789252854,0.011831412479759893
hh,780236030,0.01169624443638732
sq,750514602,0.011250700942469861
pf,750300132,0.011247485897986116
fb,743537251,0.011146105922916007
kr,740459498,0.011099968408088828
wc,739335953,0.01108312573939628
uw,731912653,0.010971845654926668
kc,719563902,0.010786729863516621
km,718788756,0.010775109921933191
wm,715128430,0.010720239259765918
iq,714359764,0.010708716457587789
kp,704408597,0.010559542006288338
ku,678961264,0.01017806997016339
sj,678346544,0.010168854918430987
mh,665327302,0.009973688031805051
cn,661266058,0.009912807348635611
fg,650480543,0.009751125479352642
fn,605786093,0.009081126668672378
ux,605592840,0.009078229680787744
kw,604099193,0.009055838942931565
wd,598852489,0.008977187445038842
tk,592138618,0.008876542161674559
pg,575977478,0.008634276185043518
mg,575888276,0.008632938989174449
ez,572494203,0.008582059632266333
yv,566509018,0.008492337824934519
xx,554737300,0.008315872132669294
pb,553313511,0.008294528611568585
yj,546404776,0.008190962190384184
wb,541505398,0.00811751733463424
tj,536726231,0.008045874519787154
uh,524903236,0.007868640152014899
vs,517563727,0.007758616149012801
wf,511762732,0.007671655469314042
cf,503867826,0.007553305704848152
dk,500625217,0.007504696891595028
xm,500340477,0.0075004284542084364
ji,483957192,0.007254832379862834
kg,471310827,0.007065255161451409
rj,467618387,0.007009903089583241
bd,467149365,0.007002872145423891
pw,465388310,0.006976472788109
cb,460498864,0.006903176819484588
xo,460487734,0.006903009973561596
nz,459403891,0.006886762463614294
oz,450998032,0.00676075318208726
kd,444574347,0.006664457975183837
bp,443158074,0.006643227123800756
hg,437064808,0.006551885112138044
ij,413267980,0.006195155217084792
pn,411327563,0.006166067106990054
uv,409837804,0.006143734652777053
xs,408373665,0.006121786258990564
xu,407474891,0.00610831305345676
zz,406963963,0.006100653911161838
tz,399047698,0.005981983961424683
yy,396710835,0.005946952868509953
tx,384005616,0.005756493390444281
cg,380593440,0.005705342657817932
yk,377466618,0.005658469566836638
xy,372725127,0.005587391539679996
cv,364293955,0.005461002799855683
bn,353904700,0.005305261125131999
xf,339528185,0.005089747835411978
nq,331688568,0.004972226888936771
bh,320626864,0.0048064047673065215
xh,319250039,0.004785765267043852
cw,314285016,0.004711336350142533
xb,306237503,0.004590698907709883
zu,296673637,0.004447330349745629
uz,294900207,0.004420745483149783
wu,285828898,0.004284760674268296
lj,284682384,0.004267573685359645
rq,276576452,0.0041460605042050475
rz,271040922,0.004063079317134059
hv,268620105,0.004026789699276036
vc,267332451,0.004007486930172317
wj,266620064,0.003996807786727346
fv,260726492,0.003908459317719258
cq,246622061,0.003697024743732514
sx,243932875,0.0036567121004021227
mv,242727741,0.0036386463596510816
gv,241097967,0.0036142149897231014
gk,238985937,0.0035825542893873543
nx,234953096,0.0035220993856204972
wg,230184684,0.003450617795203041
dq,226027310,0.0033882960609484952
vy,224764337,0.003369363276051908
bf,218548224,0.003276179708135665
vr,217059171,0.003253857837320835
hq,217009782,0.003253117464159051
xl,214535838,0.0032160314380934077
kk,212180979,0.003180730573459886
xr,211474506,0.0031701400847129
xd,209666964,0.003143043857099525
fj,207854544,0.003115874505100493
ql,207584203,0.003111821918068365
yz,202799496,0.0030400960550260063
hk,202305693,0.003032693627594628
zy,202018221,0.0030283842357550625
kj,197923765,0.002967005683152163
bw,197562503,0.002961590131325393
vu,191219786,0.0028665086872874533
hj,189902193,0.0028467571131443404
vt,189305399,0.002837810783785301
pv,186219865,0.0027915566267185175
sz,182604914,0.002737366165248079
mj,181720004,0.0027241007900715396
rx,177324040,0.0026582024368801867
tq,172016016,0.002578631712392867
uu,170247936,0.0025521270457689892
bg,168267558,0.0025224398943509193
pk,167240984,0.0025070508838792548
wk,162689468,0.0024388207052599364
vp,160573271,0.0024070975388899474
vg,159448024,0.002390229356112857
vb,159300324,0.002388015237260573
jp,158759746,0.0023799116222238087
gj,158380167,0.002374221486679928
mk,156392461,0.0023444244837862345
zl,155799204,0.002335531176352588
xw,154494871,0.002315978378214765
xv,153643160,0.0023032106775932493
bv,152346227,0.002283768810257775
hz,150561714,0.0022570178022994387
wv,149685312,0.002243879967564303
fk,148461915,0.0022255404525911952
uj,145269456,0.002177683420383717
cz,141710058,0.0021243257344352893
vl,138973795,0.0020833073763235235
jr,137430055,0.002060165711888688
kv,137367043,0.0020592211211160395
oq,137285683,0.002058001481916162
vh,136916226,0.002052463081721116
yq,136052248,0.002039511490808734
qs,135719258,0.002034519754609532
xn,135354237,0.0020290478529332986
xg,135146866,0.0020259392270665618
dx,128002023,0.0019188333937360874
vm,127476300,0.0019109524647897137
mx,127278984,0.0019079945698983304
zs,123498745,0.0018513263340415931
iy,121243061,0.0018175121670192783
qa,117748793,0.0017651308220380084
vn,116774291,0.0017505224046393036
js,116730486,0.0017498657392613463
vw,116491832,0.0017462881609230047
lz,115185658,0.0017267077650004352
wx,114261838,0.0017128591036726273
lq,111266921,0.0016679633542431994
jc,107858822,0.0016168737384926843
gz,105114918,0.001575740836832169
pq,102094564,0.0015304637702649917
wz,101939100,0.001528133264014135
zd,101168986,0.0015165887553763016
zc,99863167,0.001497013681134115
zh,99349469,0.0014893130147415577
qi,99281600,0.0014882956143868816
cj,97724802,0.0014649582020578472
zr,95348467,0.0014293353982471305
jk,95237627,0.0014276738347157344
fx,94629102,0.0014185516500536744
qt,92435217,0.0013856638901468118
dz,88576018,0.001327811992647716
px,87171181,0.00130675257432621
lx,86895575,0.0013026210615272754
zm,84167126,0.0012617198403465303
zb,82447517,0.0012359417854686857
qr,82307906,0.0012338489259758878
jm,75950627,0.0011385491881077045
pj,75706008,0.0011348821905482805
zt,75009362,0.0011244390149086842
yx,74171966,0.0011118859054271174
jd,72160777,0.0010817368771237545
bk,70233089,0.0010528395829997052
cx,70060659,0.0010502547453984908
vf,70032606,0.0010498342127230466
gq,69240897,0.0010379659810207911
vv,69205951,0.001037442117802024
bx,64498535,0.0009668748970088998
jb,62340028,0.0009345174762811579
zp,60233607,0.0009029408584954611
zn,59963870,0.0008988973258153082
fq,59735805,0.000895478483458868
uq,59614067,0.0008936535518350401
bz,57979840,0.000869155428547214
gx,56198278,0.0008424486579939765
zw,54956316,0.0008238308416228144
qc,52341229,0.0007846289903901575
pz,51530668,0.0007724781549735946
hx,49621720,0.0007438617856111687
jn,49314888,0.0007392621748076205
vx,47815439,0.0007167844612061394
zf,45439062,0.0006811610277881662
jt,44567068,0.0006680892718336724
jv,43025818,0.0006449849341147619
qf,42521152,0.000637419663263666
jl,41748140,0.0006258317117251288
mz,41663902,0.0006245689294375274
mq,41533036,0.0006226071631699375
jh,40926707,0.000613517897973007
zg,40237172,0.0006031813208382079
xk,38953406,0.0005839368353776696
qw,38662144,0.0005795706289785225
jf,37277622,0.0005588157456907618
zk,37189199,0.0005574902275372375
kq,37052361,0.0005554389371140223
fz,36509757,0.0005473049510224528
jj,36263263,0.0005436098459962175
qp,35805858,0.0005367530482059056
kx,35373414,0.000530270432004435
jw,34888766,0.0005230052439643413
qm,34592319,0.0005185613110503054
kz,34039551,0.0005102749600026449
zj,31370967,0.0004702711540222517
xj,30189609,0.0004525618309410276
qh,29313112,0.00043942257209423973
qn,28847084,0.00043243650993789363
jg,28530574,0.00042769181963365203
qd,28407229,0.00042584279803693575
bq,27287934,0.0004090638396024911
wq,27284705,0.00040901543479697966
zv,25612956,0.00038395483237864983
qe,25297860,0.00037923133885204625
qb,25058796,0.00037564761434762865
qo,25047812,0.0003754829570593857
xz,23383121,0.00035052815864145817
vk,21599286,0.0003237873143431207
xq,20714339,0.0003105213845125697
qq,16554628,0.00024816461711139095
zx,16061325,0.0002407696850044961
qv,15697108,0.0002353098358100316
vj,15424672,0.00023122584336831927
qg,15295164,0.00022928443440202527
jy,10880910,0.0001631119022410836
vq,8637649,0.0001294839640508738
qk,8123073,0.00012177013586852438
jz,8070227,0.00012097794003326498
qx,7684606,0.00011519723098833134
vz,7573361,0.00011352959624410413
qj,6944827,0.0001041074636868826
qy,6901470,0.00010345751411966196
zq,6170496,9.249973948235921e-05
jx,5682177,8.517952076991111e-05
qz,4293975,6.436947189395527e-05
jq,2858953,4.285756083340939e-05
